,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
444375,58702,72.94584909857,28.48506220925,155136765649369088,0.3121,2.176,1.473,-1.602,14.600046,0.002769,15.552221,0.003442,13.637772,0.00383,13.100617,0.079568,1.91445,0.952175,0.962275,,5580.5,1904.8843,5.2359,47.986847,2.49,0.622,0.22493,K      
468452,82779,66.25164202433,35.28643493368,176319716151757696,0.2896,2.533,2.008,-1.543,14.271105,0.002773,15.143032,0.003634,13.352106,0.003909,13.029294,0.067886,1.790926,0.871927,0.918999,,4937.3,1782.5742,5.7593,46.75495,3.002,0.377,0.11714684,K      
570209,84536,269.48985417188,-35.07135536038,4042069073175347072,0.1166,2.827,-2.778,-0.522,13.403395,0.002925,14.847594,0.005324,12.235795,0.00429,11.626801,0.030194,2.611799,1.4442,1.1676,,3724.2,5246.8677,56.7858,419.55405,1.922,1.344,0.01179558,M      
393390,7717,43.68247165866,16.26085694435,34960071716986112,0.2564,3.214,3.017,-1.109,14.737822,0.003086,15.269957,0.006846,14.03421,0.006682,13.709983,0.180038,1.235746,0.532135,0.703611,,5733.3,2592.0085,3.708,21.795254,1.823,1.514,0.28548342,K      
116665,16665,79.03950181063,43.80283489033,207576048592629120,0.1396,0.39,0.388,-0.042,15.652948,0.002781,15.954035,0.003653,15.166002,0.004719,,,0.788033,0.301086,0.486946,,10340.3,3795.9163,1.8789,39.314964,2.428,,0.70447105,B      
396933,11260,62.91552360985,17.81838807293,46125788391736704,0.3608,2.884,2.036,2.043,14.217703,0.002769,15.081606,0.003297,13.30061,0.003865,12.93057,0.054319,1.780996,0.863903,0.917093,,5804.8,2125.8508,6.1462,41.573856,2.346,0.74,0.1955018,K      
589355,3682,85.50256072333,-9.55099126427,3012114067093902464,0.7702,3.702,2.455,2.771,16.02249,0.002832,17.748257,0.011369,14.766524,0.00414,,,2.981732,1.725767,1.255965,,15011.3,1292.2292,2.6524,292.91162,4.154,,1.0135056,O      
497671,11998,121.13639881702,13.03171366524,653143824259778304,6.0904,88.145,-22.341,-85.267,15.198917,0.002812,16.348066,0.003896,14.134543,0.003876,13.685831,0.165165,2.213523,1.149149,1.064374,,3718.0,162.6542,0.5047,0.044335883,0.523,11.757,0.6624993,M      
117877,17877,77.3264460423,47.98661411351,213153076509206912,0.69,2.967,1.184,-2.721,12.848384,0.002764,13.042091,0.002839,12.52047,0.003796,,,0.521622,0.193707,0.327914,,9952.9,1469.6467,2.1623,38.239548,2.373,0.274,0.52318937,B      
338755,53082,62.53220890569,32.02534794132,169165846827541632,0.3437,6.596,5.354,-3.852,14.914904,0.003046,15.393693,0.003193,14.171881,0.003869,13.945766,0.100326,1.221812,0.478789,0.743023,,5347.6,753.1138,1.0709,0.762485,0.857,11.976,0.5710393,G      
393808,8135,58.65609514541,11.8078990675,36769253678064512,2.5849,28.506,4.882,-28.085,14.032735,0.00276,14.597946,0.00296,13.319778,0.00384,12.995708,0.067206,1.278168,0.565211,0.712956,,5291.1,368.1166,0.8005,0.48591387,0.883,4.728,0.6130772,K      
